id,x,y,group,col,pch,y_variable,x_variable,study,case,session,phase
baseline,0.9999999999999947,3.552713678800501e-15,1,red,19,,,Browder_2012,Kiernan_Outcome3,1,baseline
baseline,2.0769230769230758,1.1224489795918338,1,red,19,,,Browder_2012,Kiernan_Outcome3,2,baseline
baseline,2.923076923076919,3.552713678800501e-15,1,red,19,,,Browder_2012,Kiernan_Outcome3,3,baseline
baseline,15.999999999999996,1.0714285714285694,1,red,19,,,Browder_2012,Kiernan_Outcome3,16,baseline
baseline,31.07692307692307,1.0204081632653015,1,red,19,,,Browder_2012,Kiernan_Outcome3,31,baseline
data analysis,34.999999999999986,3.9795918367346914,2,green,19,,,Browder_2012,Kiernan_Outcome3,35,data analysis
data analysis,36.15384615384614,3.928571428571427,2,green,19,,,Browder_2012,Kiernan_Outcome3,36,data analysis
data analysis,37.99999999999999,4.9999999999999964,2,green,19,,,Browder_2012,Kiernan_Outcome3,38,data analysis
data analysis,39.07692307692307,1.9897959183673457,2,green,19,,,Browder_2012,Kiernan_Outcome3,39,data analysis
data analysis,39.999999999999986,3.0102040816326507,2,green,19,,,Browder_2012,Kiernan_Outcome3,40,data analysis
data analysis,41.076923076923066,2.9591836734693864,2,green,19,,,Browder_2012,Kiernan_Outcome3,41,data analysis
data analysis,42,5.969387755102041,2,green,19,,,Browder_2012,Kiernan_Outcome3,42,data analysis
data analysis,42.99999999999999,1.9897959183673457,2,green,19,,,Browder_2012,Kiernan_Outcome3,43,data analysis
data analysis,44.07692307692307,4.948979591836736,2,green,19,,,Browder_2012,Kiernan_Outcome3,44,data analysis
data analysis,44.999999999999986,5.969387755102041,2,green,19,,,Browder_2012,Kiernan_Outcome3,45,data analysis
data analysis,46.15384615384614,6.938775510204081,2,green,19,,,Browder_2012,Kiernan_Outcome3,46,data analysis
data analysis,55.07692307692309,4.9999999999999964,2,green,19,,,Browder_2012,Kiernan_Outcome3,55,data analysis
baseline,0.9898477157360421,0.04975124378109497,1,red,19,,,Browder_2012,Kiernan_Outcome4,1,baseline
baseline,2.0558375634517834,0,1,red,19,,,Browder_2012,Kiernan_Outcome4,2,baseline
baseline,2.8934010152284273,-0.04975124378109452,1,red,19,,,Browder_2012,Kiernan_Outcome4,3,baseline
