id,x,y,group,col,pch,y_variable,x_variable,study,case,session,phase
baseline,0.875912408759115,3.552713678800501e-15,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,1,baseline
baseline,1.9708029197080243,1.029411764705884,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,2,baseline
baseline,2.8467153284671456,-0.14705882352940947,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,3,baseline
baseline,15.76642335766423,1.029411764705884,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,16,baseline
baseline,30.875912408759117,1.029411764705884,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,31,baseline
intervention,34.81751824817518,3.9705882352941195,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,35,intervention
intervention,35.912408759124084,4.1176470588235325,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,36,intervention
intervention,37.88321167883212,5,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,38,intervention
intervention,38.75912408759123,2.0588235294117645,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,39,intervention
intervention,39.85401459854015,2.941176470588232,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,40,intervention
intervention,40.94890510948905,3.088235294117652,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,41,intervention
intervention,41.82481751824818,6.029411764705884,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,42,intervention
intervention,42.919708029197075,2.0588235294117645,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,43,intervention
intervention,43.79562043795621,5,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,44,intervention
intervention,44.89051094890511,6.029411764705884,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,45,intervention
intervention,45.766423357664245,7.0588235294117645,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,46,intervention
intervention,54.96350364963504,5,2,green,19,performance,time/sessions,Browder_2012,Kiernan_Outcome3,55,intervention
baseline,0.8664259927797735,-0.1449275362318856,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome4,1,baseline
baseline,1.9494584837544977,-0.1449275362318856,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome4,2,baseline
baseline,3.2490974729241735,-0.1449275362318856,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome4,3,baseline
baseline,16.028880866425983,0.8695652173913038,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome4,16,baseline
baseline,31.19133574007219,0.8695652173913038,1,red,19,performance,time/sessions,Browder_2012,Kiernan_Outcome4,31,baseline
