id,x,y,group,col,pch,y_variable,x_variable,study,case,session,phase
baseline,0.8517350157728742,0.06329113924050844,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome3,1,baseline
baseline,2.1766561514195573,1.012658227848103,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome3,2,baseline
baseline,2.933753943217665,0.06329113924050844,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome3,3,baseline
baseline,15.99369085173501,0.8860759493670898,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome3,16,baseline
baseline,30.851735015772867,1.0759493670886116,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome3,31,baseline
intervention,34.92113564668769,3.924050632911392,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,35,intervention
intervention,36.05678233438485,4.177215189873419,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,36,intervention
intervention,37.854889589905355,5.063291139240505,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,38,intervention
intervention,38.80126182965299,2.1518987341772124,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,39,intervention
intervention,40.031545741324905,3.1012658227848107,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,40,intervention
intervention,40.788643533123015,3.0379746835443022,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,41,intervention
intervention,42.01892744479494,6.139240506329113,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,42,intervention
intervention,43.059936908517344,1.8987341772151929,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,43,intervention
intervention,44.10094637223973,5.189873417721518,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,44,intervention
intervention,45.2365930599369,6.012658227848103,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,45,intervention
intervention,45.89905362776023,7.088607594936711,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,46,intervention
intervention,54.98422712933752,5.063291139240505,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome3,55,intervention
baseline,0.9404388714733649,-0.12269938650306766,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome4,1,baseline
baseline,1.974921630094049,-0.06134969325153339,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome4,2,baseline
baseline,3.0094043887147413,0,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome4,3,baseline
baseline,15.893416927899697,1.1042944785276076,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome4,16,baseline
baseline,31.034482758620705,0.98159509202454,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome4,31,baseline
baseline,45.235109717868355,0.9202453987730066,1,red,19,number correct,session number,Browder_2012,Kiernan_Outcome4,45,baseline
intervention,47.11598746081507,3.8036809815950927,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome4,47,intervention
intervention,47.96238244514108,0.8588957055214732,2,green,19,number correct,session number,Browder_2012,Kiernan_Outcome4,48,intervention
