id,x,y,group,col,pch,y_variable,x_variable,study,case,session,phase
0,1.0304789550072573,10.69364161849711,1,red,19,Percent Engaged,N session,author_year,case_one,1,0
0,2.036284470246734,7.803468208092486,1,red,19,Percent Engaged,N session,author_year,case_one,2,0
0,3.0420899854862125,11.5606936416185,1,red,19,Percent Engaged,N session,author_year,case_one,3,0
0,4.017416545718432,8.381502890173412,1,red,19,Percent Engaged,N session,author_year,case_one,4,0
0,5.02322206095791,9.53757225433527,1,red,19,Percent Engaged,N session,author_year,case_one,5,0
0,11.027576197387518,11.5606936416185,1,red,19,Percent Engaged,N session,author_year,case_one,11,0
0,12.033381712626994,13.872832369942198,1,red,19,Percent Engaged,N session,author_year,case_one,12,0
0,13.03918722786647,10.69364161849711,1,red,19,Percent Engaged,N session,author_year,case_one,13,0
0,14.014513788098693,12.427745664739895,1,red,19,Percent Engaged,N session,author_year,case_one,14,0
1,6.029027576197388,81.79190751445086,2,green,19,Percent Engaged,N session,author_year,case_one,6,1
1,7.004354136429607,83.81502890173412,2,green,19,Percent Engaged,N session,author_year,case_one,7,1
1,8.040638606676342,82.65895953757224,2,green,19,Percent Engaged,N session,author_year,case_one,8,1
1,9.015965166908565,85.54913294797689,2,green,19,Percent Engaged,N session,author_year,case_one,9,1
1,10.021770682148041,87.57225433526011,2,green,19,Percent Engaged,N session,author_year,case_one,10,1
1,15.020319303338173,76.58959537572254,2,green,19,Percent Engaged,N session,author_year,case_one,15,1
1,16.02612481857765,81.79190751445086,2,green,19,Percent Engaged,N session,author_year,case_one,16,1
1,17.001451378809872,80.92485549132947,2,green,19,Percent Engaged,N session,author_year,case_one,17,1
1,18.037735849056606,82.65895953757224,2,green,19,Percent Engaged,N session,author_year,case_one,18,1
1,19.013062409288825,85.83815028901734,2,green,19,Percent Engaged,N session,author_year,case_one,19,1
1,20.018867924528305,84.68208092485548,2,green,19,Percent Engaged,N session,author_year,case_one,20,1
1,21.02467343976778,87.57225433526011,2,green,19,Percent Engaged,N session,author_year,case_one,21,1
1,22.030478955007258,88.72832369942195,2,green,19,Percent Engaged,N session,author_year,case_one,22,1
0,4.980237154150192,10.021563342318062,1,red,19,N Correct,N Sessions,author_year,case_two,5,0
0,10.0494071146245,11.002695417789761,1,red,19,N Correct,N Sessions,author_year,case_two,10,0
0,14.940711462450594,9.951482479784369,1,red,19,N Correct,N Sessions,author_year,case_two,15,0
1,20.009881422924902,15.908355795148251,2,green,19,N Correct,N Sessions,author_year,case_two,20,1
1,24.9901185770751,17.870619946091644,2,green,19,N Correct,N Sessions,author_year,case_two,25,1
1,29.970355731225297,19.762803234501348,2,green,19,N Correct,N Sessions,author_year,case_two,30,1
1,35.0395256916996,22.84636118598383,2,green,19,N Correct,N Sessions,author_year,case_two,35,1
1,39.930830039525695,23.897574123989216,2,green,19,N Correct,N Sessions,author_year,case_two,40,1
1,45.08893280632412,24.87870619946092,2,green,19,N Correct,N Sessions,author_year,case_two,45,1
